DateTime,AddedIPs,RemovedIPs
1555927803,1,0
1555929678,0,3
1555932607,2,0
1555934146,4,0
1555935361,4,0
1555936194,1,0
1555937054,1,0
1555946056,1,0
1555954238,1,0
1555966610,1,0
1555975738,1,0
1555977166,1,0
1555978560,2,0
1555990547,1,0
1555992900,1,0
1555994469,1,0
1555995418,0,1
1555996587,0,1
1556001316,0,1
1556004583,1,1
1556006207,7,0
1556008889,0,1
1556014478,0,1
1556022692,1,0
1556023909,1,0
1556025291,0,1
1556026847,1,0
1556032557,0,2
1556033815,1,0
1556039238,1,21
1556044608,1,0
1556050332,2,0
1556052345,0,1
1556055231,1,0
1556079295,1,0
1556081802,1,0
1556084445,0,1
1556086135,4,0
1556090090,1,0
1556093685,3,0
1556097285,2,0
1556100286,0,1
1556101741,1,0
1556117795,1,0
1556124994,1,0
1556126159,1,0
1556131356,1,0
1556136355,1,0
1556138573,1,0
1556147139,0,2
1556148832,0,1
1556151350,0,1
1556152969,1,0
1556158253,0,1
1556160959,0,1
1556162158,1,0
1556167562,1,0
1556171754,0,1
1556174576,0,2
1556178679,0,1
1556179853,1,0
1556181759,0,1
1556185838,0,1
1556187287,0,1
1556188978,0,2
1556191746,1,0
1556195331,1,0
1556202939,1,0
1556204139,1,0
1556206752,0,1
1556208890,1,1
1556211959,1,0
1556215741,2,0
1556219154,1,0
1556225797,1,1
1556230502,1,0
1556232159,1,0
1556241276,1,0
1556242126,1,0
1556246025,1,1
1556250069,1,0
1556255681,1,7
1556257389,0,4
1556258598,0,1
1556262348,0,1
1556265367,0,3
1556270080,1,0
1556273095,0,1
1556276210,0,2
1556278821,2,0
1556282558,1,0
1556283966,0,1
1556286155,2,1
1556291749,0,2
1556293564,1,0
1556298362,1,0
1556299537,2,0
1556305004,2,0
1556306147,1,0
1556307756,0,1
1556308965,0,1
1556312195,0,1
1556317723,1,0
1556322057,0,1
1556324085,1,0
1556329385,0,1
1556332859,0,1
1556334881,1,0
1556338261,2,0
1556341016,1,0
1556342098,0,1
1556345756,2,1
1556346533,1,0
1556350970,0,2
1556356488,0,1
1556360094,1,0
1556361765,0,3
1556366216,1,1
1556368430,0,1
1556370087,0,1
1556378151,0,1
1556380801,0,1
1556385276,1,0
1556387638,1,0
1556391411,1,0
1556395007,1,0
1556401691,3,1
1556403301,17,0
1556419366,0,1
1556426460,1,0
1556427424,1,0
1556429326,1,0
1556435453,0,1
1556442347,1,0
