DateTime,AddedIPs,RemovedIPs
1557144618,2,0
1557145219,1,0
1557146118,61,0
1557148217,1,0
1557148818,1,0
1557150018,18,0
1557153618,3,0
1557154517,2,0
1557156918,2,0
1557159018,76,0
1557159618,1,0
1557162617,3,0
1557165020,0,1
1557166817,45,0
1557167119,13,0
1557168018,251,0
1557168619,0,1
1557169519,37,0
1557171020,0,1
1557171621,1,0
1557172517,10,0
1557174017,10,0
1557175519,50,0
1557176118,2,0
1557177017,1,0
1557177317,0,1
1557181218,9,0
1557182117,93,0
1557182719,0,1
1557184818,2,0
1557186618,1,0
1557187519,55,0
1557188119,0,1
1557188718,45,0
1557194117,16,0
1557195018,2,0
1557196218,1,0
1557199518,21,0
1557200117,4,0
1557201018,2,0
1557202218,1,0
1557203717,29,0
1557205219,3,1
1557205516,1,0
1557209118,43,0
1557209718,47,0
1557211219,1,0
1557214518,44,0
1557217518,23,0
1557219919,0,1
1557220518,0,1
1557220818,3,0
1557224418,1,0
1557225317,5,0
1557227118,1,0
1557228019,96,0
1557229820,2,0
1557232820,1,0
1557233718,18,0
1557234020,0,1
1557234617,4,0
1557238818,1,0
1557240319,1,0
1557240620,378,0
1557240918,6,0
1557244220,1,0
1557246917,13,0
1557247218,20,0
1557247820,26,0
1557248117,0,1
1557250819,2,0
1557252616,4,0
1557253218,1,0
1557257119,1,0
1557257717,7,0
1557258917,0,1
1557261019,0,3
1557261317,0,2
1557261619,1,0
1557262218,11,0
1557264618,0,9
1557264918,1,0
1557266117,190,0
1557266718,48,0
1557268818,1,0
1557269418,3,0
1557270317,2,0
1557273919,19,0
1557274218,5,0
1557277518,2,0
1557278419,19,0
1557279318,10,0
1557282018,46,0
1557282318,5,0
1557283218,2,0
1557286818,23,0
1557291918,5,0
1557293122,9,0
1557297618,91,0
1557302116,0,1
1557303918,2,0
1557304517,61,0
1557307517,3,0
1557308117,1,0
1557309318,60,0
1557312020,1,0
1557312619,3,0
1557313818,11,0
1557316220,3,0
1557316821,0,2
1557317417,120,0
1557320117,1,0
1557321619,12,0
1557325520,0,1
1557327317,24,0
1557328218,3,0
1557329719,0,3
1557330618,3,0
1557331518,42,0
1557333619,30,0
1557333918,49,0
1557335418,1,0
1557336318,27,0
1557337218,2,1
1557340517,1,0
1557346818,91,0
1557347717,0,2
1557348918,53,0
1557351020,0,1
1557351316,1,0
1557352217,1,1
1557356117,166,0
1557357618,210,0
1557357917,4,0
1557362418,2,0
1557363318,96,0
1557366018,1,0
1557366620,138,0
1557366917,5,0
1557369918,0,1
1557372019,2,0
1557372318,0,1
1557372917,20,0
1557374117,53,0
1557375017,6,0
1557377419,1,0
1557379217,3,0
1557380116,84,0
1557384017,1,0
1557384618,41,0
1557385517,23,0
1557388219,14,0
1557390320,28,0
1557392718,0,2
1557393319,0,1
1557393617,1,0
1557394819,64,0
1557396318,4,1
1557399020,64,0
1557399318,50,0
1557400218,0,1
1557400518,0,1
1557402018,1,0
1557402618,3,0
1557403221,0,1
1557403519,3,0
1557405618,1,0
1557406219,1,0
1557408019,2,0
1557409219,8,0
1557409821,85,0
1557411018,0,1
1557412518,1,0
1557412820,26,0
1557413119,13,0
1557413718,6,0
1557414318,7,0
1557418818,15,0
1557420019,2,1
1557421818,85,0
1557424218,1,0
1557425417,1,0
1557427218,30,0
1557432318,4,0
1557434117,0,1
1557438618,1,0
1557439817,4,0
1557440417,139,0
1557443120,1,0
1557444017,1,0
1557445818,30,0
1557447919,0,1
1557448518,1,0
1557449419,1,0
1557450617,6,0
1557456018,3,0
1557456619,112,0
1557460220,1,0
1557462018,108,0
1557466819,2,0
1557467418,1,0
1557468618,13,0
1557473120,1,0
1557473716,3,0
1557474018,33,0
1557475817,0,1
1557476118,0,2
1557476418,0,1
1557476719,2,0
1557480017,55,0
1557480319,40,1
1557483017,1,0
1557483618,16,0
1557488117,3,0
1557489019,3,0
1557490219,11,0
1557491118,1,0
1557492018,10,0
1557492319,25,0
1557492619,1,0
1557493518,3,0
1557494720,4,0
1557497418,337,0
1557499518,0,1
1557500717,75,0
1557502817,1,0
1557504618,95,0
1557504918,27,0
1557505517,345,0
1557506719,0,1
1557507318,456,1
1557509118,171,0
1557509718,49,0
1557510018,271,0
1557510618,187,0
1557511819,80,0
1557512118,0,1
1557514517,0,1
1557516916,1,0
1557517518,0,2
1557519017,106,0
1557519618,5,0
1557524418,1,0
1557525318,72,0
1557526217,25,0
1557526518,0,1
1557528318,177,0
1557532517,1,0
1557533418,20,0
1557534019,2,0
1557535818,1,0
1557536718,2,0
1557540318,1,0
1557541218,66,0
1557544818,2,0
1557545718,1,0
1557547517,1,0
1557549318,32,0
1557549619,30,0
1557552018,17,0
1557553217,1,0
1557554118,2,0
1557557119,6,0
1557557716,1,0
1557558619,27,0
1557559220,65,0
1557564618,1,0
1557568821,42,0
1557571220,15,0
1557572718,7,0
1557577219,2,0
1557578117,1,0
1557579018,28,0
1557581420,0,1
1557583520,4,0
1557584718,4,0
1557585618,73,0
1557588918,4,0
1557592818,1,0
1557593418,82,0
1557594917,41,0
1557597318,3,0
1557598217,51,0
1557599118,0,1
1557601817,7,0
1557603316,1,0
1557604517,4,0
1557606018,1,0
1557607219,13,0
1557607818,3,0
1557610516,43,0
1557613219,1,0
1557615919,37,0
1557618621,1,0
