DateTime,AddedIPs,RemovedIPs
1556146381,1,0
1556155984,0,1
1556159793,0,2
1556161745,1,1
1556163638,0,1
1556167509,1,1
1556169405,2,2
1556171331,2,1
1556180942,1,1
1556182965,2,0
1556186705,1,0
1556190507,1,0
1556194379,1,0
1556196510,1,0
1556198441,0,1
1556202264,2,0
1556204206,0,2
1556208074,0,1
1556213700,0,1
1556215843,0,1
1556217999,1,1
1556220052,0,2
1556223886,1,0
1556226142,1,1
1556228186,1,0
1556233371,0,1
1556237325,1,0
1556248858,0,1
1556250766,1,0
1556254959,0,3
1556257244,0,2
1556259134,1,0
1556266850,0,1
1556268734,0,1
1556270666,1,1
1556272747,0,1
1556276699,0,1
1556280496,1,1
1556282421,0,1
1556288186,0,1
1556290115,0,1
1556295851,1,0
1556303566,0,1
1556309294,1,1
1556311245,0,1
1556315298,0,1
1556319797,1,0
1556323719,1,1
1556327553,3,0
1556329476,1,0
1556337158,1,1
1556339070,1,0
1556346772,2,1
1556354463,2,0
1556356352,1,0
1556358281,0,1
1556360099,1,0
1556365720,1,0
1556367666,1,1
1556379186,1,0
1556383022,1,1
1556384906,1,0
1556390679,1,0
1556392618,1,0
1556394545,2,0
1556396437,1,1
1556400282,1,0
1556404127,1,0
1556406138,1,1
1556409933,0,1
1556413719,0,1
1556415650,0,3
1556417561,1,0
1556423317,0,1
1556425253,0,1
1556427167,2,0
1556429077,1,0
1556432947,1,2
1556440858,0,2
1556442769,0,1
1556446602,0,1
1556450449,1,1
1556454291,0,1
1556460174,1,0
1556463926,2,0
1556465830,0,1
1556469663,2,1
1556471552,0,1
1556477310,1,1
1556479264,0,1
1556481189,0,2
1556483085,1,1
1556485477,0,1
1556489323,1,0
1556491237,0,1
1556493154,0,1
1556498920,1,0
1556504685,0,1
1556510562,1,0
1556512385,1,0
1556514329,0,2
1556516202,0,1
1556520057,0,1
1556525822,1,0
1556537310,1,1
1556545471,0,1
1556549317,0,1
1556551248,0,1
1556553172,1,0
1556555087,0,1
1556557003,0,1
1556562797,0,1
1556566590,1,0
1556570464,0,1
1556574503,1,0
1556576461,0,1
1556578744,2,0
1556584634,1,1
1556596119,0,1
1556598034,1,1
1556611575,0,1
1556619715,2,0
1556623514,2,1
1556625407,2,0
1556629319,2,0
1556635461,1,0
1556639570,0,1
1556641460,1,0
1556643391,1,0
1556645320,1,0
1556652020,0,1
1556661803,0,1
1556663773,1,2
1556665694,1,0
1556668091,1,0
1556670053,0,1
1556673881,1,0
1556685661,0,1
1556697150,1,0
1556704972,0,2
1556706802,1,0
1556710610,1,2
1556712530,0,2
1556714449,1,0
1556716365,1,2
1556718279,1,0
1556722121,1,1
1556727895,0,1
1556729815,0,1
1556731728,1,1
1556733763,1,0
1556743203,1,0
1556745168,1,0
1556750466,1,1
1556752378,1,1
1556754319,0,1
1556760280,0,1
1556764121,2,0
1556767982,1,0
1556769942,1,0
1556771814,2,0
1556777829,2,0
1556781788,2,0
1556783623,0,1
1556787438,1,0
1556789394,1,0
1556793422,1,1
1556795310,1,0
1556797255,2,1
1556799185,1,0
1556801099,0,1
1556802995,0,1
1556805270,1,1
1556809323,2,1
1556818826,1,2
1556820747,1,0
1556828454,0,1
1556832284,0,1
1556836375,0,1
1556838308,0,1
1556847897,1,0
1556849799,0,2
1556853627,1,1
1556855564,1,0
1556857479,0,3
1556859412,1,0
1556865437,1,2
1556867326,0,1
1556869255,1,1
1556873104,1,0
1556875008,1,1
1556876923,0,1
1556880796,0,2
1556882693,1,1
1556884640,0,2
1556886845,1,0
1556890591,0,1
1556894670,1,0
1556896616,0,2
1556900431,1,0
1556904273,0,1
1556906187,0,1
1556915787,1,0
1556917730,1,0
1556925399,1,0
1556929256,2,0
1556934995,0,1
1556938968,0,1
1556940799,0,1
1556942711,1,0
1556946542,0,1
1556948441,1,0
1556952301,1,1
1556956147,0,1
1556959976,0,2
1556961884,1,0
1556967937,1,1
1556969798,1,0
1556973630,0,1
1556977493,1,0
1556979409,1,0
1556981319,0,1
1556985186,1,0
1556987071,1,1
1556990929,1,0
